assembly,protein_id,signalp3_nn,signalp3_nn_d,signalp3_hmm,signalp3_hmm_s,signalp4,signalp4_d,signalp5,signalp5_d,signalp5_prediction,phobius_tm_count,phobius_has_sp,phobius_prediction,effectorp1,effectorp1_prob,effectorp2,effectorp2_prob,effectorp3_cytoplasmic_fungal,effectorp3_apoplastic_fungal,effectorp3_noneffector_fungal,effectorp3_prediction_fungal,effectorp3_cytoplasmic_nonfungal,effectorp3_apoplastic_nonfungal,effectorp3_noneffector_nonfungal,effectorp3_prediction_nonfungal,deepredeff_fungi,deepredeff_oomycete,apoplastp,apoplastp_prediction,tmhmm_tm_count,tmhmm_prediction,localizer,signalp6,signalp6_d,signalp6_prediction,pfam_ids,pfam_names,pfam_best_evalues,has_selected_pfam_match,custom_score,score_rank
assembly2,assembly2_001788,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.999,TRUE,0.799,TRUE,0.984791,SP(Sec/SPI),0,TRUE,n8-18c23/24o,FALSE,1,FALSE,0.892,0.806,NA,NA,Cytoplasmic effector,0.703,NA,NA,Cytoplasmic effector,0.098141104,0.42849874,0.97,Non-apoplastic,0,len=195,NA,FALSE,0.999751,SP,PF00964.22,Elicitin,4.6e-17,TRUE,6.385828220800001,1
assembly2,assembly2_005268,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.746,FALSE,0.366,FALSE,0.088501,OTHER,0,FALSE,o,FALSE,0.816,FALSE,0.921,NA,NA,0.509,Non-effector,0.579,NA,NA,Cytoplasmic effector,0.19417465,0.43651193,0.88,Non-apoplastic,0,len=76,NA,NA,NA,NA,PF13304.12,"AAA domain, putative AbiEii toxin, Type IV TA system",1.4e-4,TRUE,6.3599349300000005,2
assembly2,assembly2_001356,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.927,FALSE,0.289,TRUE,0.572532,SP(Sec/SPI),0,TRUE,n18-29c34/35o,TRUE,0.999,TRUE,0.778,NA,0.841,NA,Apoplastic effector,NA,0.841,NA,Apoplastic effector,0.37260285,0.6397152,0.74,Apoplastic,0,len=177,NA,FALSE,0.907782,SP,PF03330.24,Lytic transglycolase,5.1e-12,TRUE,5.866720570000001,3
assembly2,assembly2_002035,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.977,TRUE,0.506,TRUE,0.512939,SP(Sec/SPI),3,FALSE,i12-31o37-60i81-102o,FALSE,0.998,FALSE,0.71,NA,NA,0.939,Non-effector,NA,NA,0.906,Non-effector,0.8476795,0.46867427,0.85,Non-apoplastic,0,len=339,NA,NA,NA,NA,PF13304.12,"AAA domain, putative AbiEii toxin, Type IV TA system",3.3e-5,TRUE,5.6236359,4
assembly2,assembly2_002709,RESULTS_MISSING,RESULTS_MISSING,TRUE,1,TRUE,0.798,TRUE,0.983122,SP(Sec/SPI),0,TRUE,n4-14c22/23o,TRUE,0.532,FALSE,0.732,0.514,NA,NA,Cytoplasmic effector,0.758,NA,NA,Cytoplasmic effector,0.07996392,0.24036083,0.53,Non-apoplastic,0,len=126,TRUE,FALSE,0.999634,SP,PF16810.10,"RXLR phytopathogen effector protein, Avirulence activity",3e-6,TRUE,5.114192784000001,5
assembly2,assembly2_000589,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.692,FALSE,0.245,FALSE,0.03115,OTHER,0,TRUE,n19-30c38/39o,FALSE,1,FALSE,0.996,NA,NA,0.627,Non-effector,NA,NA,0.72,Non-effector,0.8891208,0.34130776,0.71,Non-apoplastic,0,len=52,NA,NA,NA,NA,NA,NA,NA,NA,5.0580241599999995,6
assembly2,assembly2_007673,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.693,FALSE,0.366,FALSE,0.446487,OTHER,0,FALSE,o,FALSE,0.989,FALSE,0.995,NA,NA,0.743,Non-effector,NA,NA,0.743,Non-effector,0.9677118,0.33949035,0.62,Non-apoplastic,0,len=56,NA,NA,NA,NA,NA,NA,NA,NA,5.05764236,7
assembly2,assembly2_000119,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,TRUE,0.477,FALSE,0.075909,OTHER,0,FALSE,o,FALSE,1,FALSE,0.991,NA,NA,0.95,Non-effector,NA,NA,0.899,Non-effector,0.9721321,0.6750704,0.99,Non-apoplastic,0,len=794,NA,NA,NA,NA,NA,NA,NA,NA,5.05242642,8
assembly2,assembly2_000566,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.033,TRUE,0.5,FALSE,0.496184,OTHER,6,FALSE,i141-160o180-199i338-354o360-379i400-420o435-452i,FALSE,1,FALSE,0.991,NA,NA,0.956,Non-effector,NA,NA,0.949,Non-effector,0.94005585,0.47029033,0.99,Non-apoplastic,0,len=490,NA,FALSE,0.860289,SP,NA,NA,NA,NA,5.04601117,9
assembly2,assembly2_003979,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.541,FALSE,0.155,FALSE,0.005692,OTHER,0,FALSE,i,TRUE,1,FALSE,0.999,0.665,NA,NA,Cytoplasmic effector,NA,NA,0.828,Non-effector,0.7539332,0.40500405,0.64,Apoplastic,0,len=54,NA,NA,NA,NA,NA,NA,NA,NA,5.045886640000001,10
assembly2,assembly2_005635,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.931,FALSE,0.247,FALSE,0.335967,OTHER,0,FALSE,i,FALSE,0.966,FALSE,0.996,NA,NA,0.511,Non-effector,NA,NA,0.848,Non-effector,0.98370206,0.36002797,0.53,Non-apoplastic,0,len=42,NA,NA,NA,NA,NA,NA,NA,NA,5.042840411999999,11
assembly2,assembly2_000116,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.11,FALSE,0.002165,OTHER,0,FALSE,o,FALSE,1,FALSE,0.991,NA,NA,0.982,Non-effector,NA,NA,0.746,Non-effector,0.91991925,0.43190795,1,Non-apoplastic,0,len=810,NA,NA,NA,NA,PF06414.18,Zeta toxin,0.0016,TRUE,5.03898385,12
assembly2,assembly2_000101,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.132,FALSE,0.003002,OTHER,0,FALSE,o,FALSE,1,FALSE,0.99,NA,NA,0.957,Non-effector,NA,NA,0.82,Non-effector,0.92276776,0.50190234,0.94,Non-apoplastic,0,len=782,NA,NA,NA,NA,PF13304.12,"AAA domain, putative AbiEii toxin, Type IV TA system",1e-5,TRUE,5.034553552,13
assembly2,assembly2_000828,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.367,TRUE,0.498,TRUE,0.773792,SP(Sec/SPI),6,FALSE,i136-159o179-198i219-245o265-285i316-340o360-379i,FALSE,1,FALSE,0.989,NA,NA,0.852,Non-effector,NA,NA,0.836,Non-effector,0.90437376,0.28375953,0.92,Non-apoplastic,0,len=459,NA,FALSE,0.996285,SP,NA,NA,NA,NA,5.031874752,14
assembly2,assembly2_001508,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.065,FALSE,0.2,FALSE,0.004835,OTHER,0,TRUE,n9-20c24/25o,FALSE,1,FALSE,0.991,NA,NA,0.74,Non-effector,NA,NA,0.74,Non-effector,0.87365615,0.41805083,0.63,Apoplastic,0,len=253,TRUE,NA,NA,NA,NA,NA,NA,NA,5.02983123,15
assembly2,assembly2_000258,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.985,TRUE,0.648,TRUE,0.934444,SP(Sec/SPI),4,TRUE,n10-20c25/26o489-508i520-545o551-579i591-610o,FALSE,1,FALSE,0.991,NA,NA,0.745,Non-effector,NA,NA,0.745,Non-effector,0.78718024,0.44184837,0.68,Apoplastic,0,len=613,NA,FALSE,0.999284,SP,NA,NA,NA,NA,5.018636048,16
assembly2,assembly2_000198,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.115,FALSE,0.001265,OTHER,0,FALSE,o,FALSE,1,FALSE,0.989,NA,NA,0.932,Non-effector,NA,NA,0.764,Non-effector,0.7598872,0.3667497,1,Non-apoplastic,0,len=699,NA,NA,NA,NA,PF01363.27,FYVE zinc finger,1e-5,TRUE,4.99697744,17
assembly2,assembly2_000651,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.335,FALSE,0.060497,OTHER,1,FALSE,o61-84i,FALSE,1,FALSE,0.983,NA,NA,0.986,Non-effector,NA,NA,0.982,Non-effector,0.8938424,0.23826146,0.84,Non-apoplastic,0,len=491,NA,NA,NA,NA,PF13304.12,"AAA domain, putative AbiEii toxin, Type IV TA system",3.1e-4,TRUE,4.99376848,18
assembly2,assembly2_000457,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.645,TRUE,0.608,FALSE,0.412799,OTHER,0,TRUE,n4-13c18/19o,FALSE,1,FALSE,0.991,NA,NA,0.987,Non-effector,NA,NA,0.932,Non-effector,0.65386003,0.4276666,0.8,Non-apoplastic,0,len=570,NA,NA,NA,NA,NA,NA,NA,NA,4.988972006000001,19
assembly2,assembly2_006817,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.467,FALSE,0.346,FALSE,0.001594,OTHER,0,TRUE,n13-21c29/30o,FALSE,0.994,FALSE,0.979,NA,NA,0.667,Non-effector,NA,NA,0.755,Non-effector,0.98812264,0.5559342,0.65,Non-apoplastic,0,len=70,NA,NA,NA,NA,NA,NA,NA,NA,4.986724528000001,20
assembly2,assembly2_006820,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.632,FALSE,0.297,FALSE,0.276709,OTHER,0,TRUE,n16-27c32/33o,FALSE,0.994,FALSE,0.979,NA,NA,0.661,Non-effector,NA,NA,0.636,Non-effector,0.95748997,0.27538538,0.78,Non-apoplastic,0,len=51,NA,NA,NA,NA,NA,NA,NA,NA,4.980697994000001,21
assembly2,assembly2_006432,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.914,FALSE,0.186,FALSE,0.031278,OTHER,0,TRUE,n6-16c21/22o,FALSE,1,FALSE,0.978,0.762,NA,NA,Cytoplasmic effector,0.726,NA,NA,Cytoplasmic effector,0.9460851,0.41845915,0.63,Non-apoplastic,0,len=62,NA,NA,NA,NA,NA,NA,NA,NA,4.9794170200000005,22
assembly2,assembly2_006733,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.999,FALSE,0.372,TRUE,0.741233,SP(Sec/SPI),0,TRUE,n4-12c17/18o,FALSE,0.996,FALSE,0.977,NA,NA,0.66,Non-effector,NA,NA,0.665,Non-effector,0.96127796,0.26397145,0.75,Non-apoplastic,0,len=40,NA,NA,NA,NA,NA,NA,NA,NA,4.976455592,23
assembly2,assembly2_006227,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.898,FALSE,0.426,FALSE,0.084903,OTHER,0,TRUE,n16-24c29/30o,TRUE,0.995,FALSE,0.993,NA,NA,0.574,Non-effector,NA,NA,0.702,Non-effector,0.5682875,0.47427326,0.58,Apoplastic,0,len=38,NA,NA,NA,NA,NA,NA,NA,NA,4.9738575,24
assembly2,assembly2_000572,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.673,FALSE,0.15,FALSE,0.010077,OTHER,0,TRUE,n7-17c21/22o,FALSE,1,FALSE,0.983,NA,NA,0.956,Non-effector,NA,NA,0.782,Non-effector,0.7856098,0.52818274,0.72,Non-apoplastic,0,len=411,NA,NA,NA,NA,NA,NA,NA,NA,4.97232196,25
assembly2,assembly2_007300,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.969,FALSE,0.215,FALSE,0.039189,OTHER,0,TRUE,n6-16c21/22o,FALSE,1,FALSE,0.978,0.772,NA,NA,Cytoplasmic effector,0.726,NA,NA,Cytoplasmic effector,0.8894909,0.36813053,0.61,Non-apoplastic,0,len=58,NA,NA,NA,NA,NA,NA,NA,NA,4.96809818,26
assembly2,assembly2_004601,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.954,FALSE,0.231,FALSE,0.046091,OTHER,0,TRUE,n6-16c21/22o,FALSE,1,FALSE,0.975,0.836,NA,NA,Cytoplasmic effector,0.705,NA,NA,Cytoplasmic effector,0.9220265,0.39727905,0.51,Non-apoplastic,0,len=81,NA,NA,NA,NA,NA,NA,NA,NA,4.959605300000001,27
assembly2,assembly2_000191,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.006,FALSE,0.304,FALSE,0.032054,OTHER,0,TRUE,n2-13c18/19o,FALSE,1,FALSE,0.991,NA,NA,0.925,Non-effector,NA,NA,0.776,Non-effector,0.51932675,0.24100974,0.99,Non-apoplastic,0,len=738,NA,NA,NA,NA,NA,NA,NA,NA,4.95896535,28
assembly2,assembly2_005950,RESULTS_MISSING,RESULTS_MISSING,TRUE,1,TRUE,0.887,TRUE,0.977216,SP(Sec/SPI),0,TRUE,n4-15c19/20o,FALSE,0.999,FALSE,0.974,NA,NA,0.667,Non-effector,NA,NA,0.667,Non-effector,0.89341897,0.41870755,0.51,Non-apoplastic,0,len=45,NA,FALSE,0.99958,SP,NA,NA,NA,NA,4.953883794000001,29
assembly2,assembly2_006831,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.913,FALSE,0.216,FALSE,0.164263,OTHER,0,TRUE,n4-15c20/21o,FALSE,1,FALSE,0.996,NA,NA,0.908,Non-effector,NA,NA,0.931,Non-effector,0.34961152,0.42096987,0.54,Non-apoplastic,0,len=37,NA,NA,NA,NA,NA,NA,NA,NA,4.950122304,30
assembly2,assembly2_000558,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.121,FALSE,5.69e-4,OTHER,0,FALSE,o,FALSE,1,FALSE,0.974,NA,NA,0.958,Non-effector,NA,NA,0.848,Non-effector,0.8966372,0.22934905,0.92,Non-apoplastic,0,len=516,NA,NA,NA,NA,PF06414.18,Zeta toxin,0.0083,TRUE,4.94932744,31
assembly2,assembly2_000320,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.109,FALSE,8.91e-4,OTHER,0,FALSE,o,FALSE,1,FALSE,0.991,NA,NA,0.909,Non-effector,NA,NA,0.528,Non-effector,0.4312511,0.43691877,0.97,Non-apoplastic,0,len=661,NA,NA,NA,NA,PF01363.27,FYVE zinc finger,4.9e-12,TRUE,4.941250220000001,32
assembly2,assembly2_000107,RESULTS_MISSING,RESULTS_MISSING,FALSE,0,FALSE,0.157,FALSE,0.002427,OTHER,1,FALSE,i428-449o,FALSE,1,FALSE,0.969,NA,NA,0.956,Non-effector,NA,NA,0.824,Non-effector,0.97745395,0.38250476,1,Non-apoplastic,0,len=781,TRUE,NA,NA,NA,PF01363.27,FYVE zinc finger,3.5e-7,TRUE,4.94049079,33
assembly2,assembly2_001251,RESULTS_MISSING,RESULTS_MISSING,FALSE,0.078,FALSE,0.47,FALSE,0.042761,OTHER,3,TRUE,n4-13c17/18o41-64i292-310o316-337i,FALSE,1,FALSE,0.969,NA,NA,0.769,Non-effector,NA,NA,0.711,Non-effector,0.97353953,0.3869956,0.75,Non-apoplastic,0,len=390,NA,NA,NA,NA,NA,NA,NA,NA,4.939807906,34
assembly2,assembly2_005254,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.605,FALSE,0.166,FALSE,0.001554,OTHER,0,FALSE,i,FALSE,1,FALSE,0.977,NA,NA,0.544,Non-effector,NA,NA,0.828,Non-effector,0.7636181,0.42080253,0.57,Non-apoplastic,0,len=87,NA,NA,NA,NA,NA,NA,NA,NA,4.93782362,35
assembly2,assembly2_000095,RESULTS_MISSING,RESULTS_MISSING,TRUE,0.855,TRUE,0.734,TRUE,0.954487,SP(Sec/SPI),0,TRUE,n4-15c19/20o,FALSE,1,FALSE,0.969,0.719,NA,NA,Cytoplasmic effector,0.697,NA,NA,Cytoplasmic effector,0.90431213,0.529199,1,Non-apoplastic,0,len=543,NA,FALSE,0.798238,SP,NA,NA,NA,NA,4.932062426000001,36
